document_id,element_id,element_type,element_text,page_number,bbox_json,section_path,source_method,parser_version,run_id,processed_ts
til 1502-2r1 - 7f and 9f aft end compressor rubs,text_001_67344538,section,"GE
TIL 1502-2R1
GE ENERGY SERVICES TECHNOLOGY
CUSTOMER TECHNOLOGY SERVICES
1 NOVEMBER 2005
Compliance Category - M
Timing Code - 6
TECHNICAL INFORMATION LETTER
7F AND 9F AFT END COMPRESSOR RUBS
APPLICATION
All 7F and 9F Heavy Duty Gas Turbines
PURPOSE
To inform users to monitor equipment operation and condition, and to identify the onset, occurrence, and effects of aft end compressor rubs (when the tip of the rotor blade rubs the casing).  Rubs are evident when blade tip material is adversely affected. Information in this TIL is supplemental to information in the Inspection and Maintenance Manual provided with the gas turbine.
REASON FOR REVISION
To update the technical content of the TIL, including frequency of tip loss and recommendations when discovered.
Compliance Category
Timing Code
6 Next Scheduled Outage
COPYRIGHT 2005 GE
The information published in this Technical Information Letter is offered to you by GE in consideration of its ongoing sales and service relationship with your organization. However, since the operation of your plant involves many factors not within our knowledge, and since operation of the plant is in your control and ultimate responsibility for its continuing successful operation rests with you, GE specifically disclaims any responsibility for liability based on claims for damage of any type, i.e. direct, consequential or special that may be alleged to have been incurred as result of applying this information regardless of whether it is claimed that GE is strictly liable, in breach of contract, in breach of warranty, negligent, or is in other respects responsible for any alleged injury or damage sustained by your organization as a result of applying this information.
TIL 1502-2R1
BACKGROUND DISCUSSION
The compressor section of F-Class gas turbines has 18
(0-17) stages of rotating components (rotor blades) and
stationary components (stator vanes).
Some F-class machines have experienced aft end compressor rubs. These rubs range from light scoring on the casing to material loss at the blade tip. This phenomenon was concluded to be very low risk relative to unit operation and reliability. No performance impact and no forced outages have been experienced as a result. Rotor blades in rows 13, 14, and 15 are primarily affected.
Figure 1: F-Class Compressor Cross-Section
Based on the conclusion of Root Cause Analysis (RCA) and fleet experience, aft end rubs are primarily induced because of frequent restarts between two (2) to eight (8) hours after shutdown. During this transient period, the thermal compression of the casing relative to the rotor can decrease clearances and can lead to rubs upon restart. The heat generated from a rub can lower the local material fatigue strength of the blade resulting in material tip loss in the event of another rub. Typical material loss dimensions are less than 1/16 inch² in area (see Figure 2).
Typical Tip Loss
1/4""
Figure 2: Typical Blade Tip Loss
Restarting a unit 2 to 8 hours after a shutdown or trip is within the operating envelope, but this may cause rubs in some cases. Aft end rubs and/or tip loss pose very low risk to unit operation and reliability. No performance impact and no forced outages have been experienced due to this issue.
RECOMMENDATIONS
Follow operating practices per GER 3620 to reduce the potential for rubs on aft end compressor blades. In addition to the GER 3620 guidelines, the following recommendations would also help minimize aft end rubs and tip loss occurrence.
Keep enclosure doors closed during startup, shutdown and normal operation.
Be aware that restarting the gas turbine between two (2) and eight (8) hours following a shutdown or trip will cause the clearances in the aft end to decrease. If the unit operates this way now or has in the past, there is a potential for this clearance closure to cause aft end tip rubs. As a result, the area should be included in the yearly borescope inspections.
• Eliminate any potential pipe leaks that may cause quenching of the gas turbine compressor discharge casing.
Ensure vent fans and exhaust fans to the gas turbine enclosure are functioning properly such that no local forced convection is taking place at or near the compressor discharge casing.
Integrate the inspection for aft end compressor rubs with your yearly scheduled borescope inspection per GER 3620. Observe rotor blade stages 13 through 17 and look for mushroomed material (see Figure 3), bluing at the blade tip, and / or markings in the casing area.
Casing
Mushrooming Material Tip
Rotating Airfoil
Figure 3: Fractured Tip Surface
2 of 5
TIL 1502-2R1
If rubs or tip loss do occur, blending to increase clearances can be performed at Major Inspections (MI) or when the Compressor Discharge Casing (CDC) is removed. During repairs, clearances of rotor blades can be increased radially by tip grinding and polishing, and tip corners repaired by blade blending. Typically, 20 mils radially of material can be removed to both increase clearance and remove heat affected and rolled over material.
Following this operation, a penetrant inspection must be performed to ensure no tip cracks are present. If the CDC is removed prior to the major inspection, clearances can also be increased to eliminate the potential for tip rubs should the customer desire. Please contact your local GE service representative for assistance.
PLANNING INFORMATION
Compliance
• Compliance Category: M
• Timing Code: 6
Manpower Skills
Trained GE Borescope technician to perform borescope inspection, approximately eight (8) hours.
Trained GE Blade technician for rotor blade clearance increases, approximately 16 hours once the casing has been removed.
Parts
N/A
Special Tooling
N/A
Reference Documents
N/A
Previous Modifications
N/A
Scope of Work
N/A
Contact your local GE Energy Services representative for assistance or for additional information.
NOTE: If you would like to receive future TILs by email, contact your local GE Energy Services representative for assistance.
3 of 5
TIL 1502-2R1
TIL COMPLIANCE RECORD
Compliance with this TIL must be entered in local records.  GE requests that the customer notify GE upon compliance of this TIL.
Complete the following TIL Compliance Record and FAX it to:
TIL Compliance
FAX: (678) 844-3451
Toll free FAX: 1-888-896-TILS (1-888-896-8457)
4 of 5
TIL 1502-2R1
USER SATISFACTION SURVEY
GE values your opinions and comments.
GE requests that you complete the User Satisfaction Survey below to help us better serve you with accurate and timely information on your equipment.
Complete the following TIL Compliance Record and FAX it to:
TIL Survey
GE Customer Technology Services
FAX: (678) 844-6737
Toll free FAX: 1-866-604-2668
5 of 5",null,null,document.raw_text,databricks_ai,v1,til_p1_20260626_053348_c2e611d7,2026-06-26T05:37:28.946Z
til 1502-2r1 - 7f and 9f aft end compressor rubs,table_001_861df81a,table,"<table><tr><th>O - Optional</th><td>Identifies changes that may be beneficial to some, but not necessarily all, operators. Accomplishment is at customer's discretion.</td></tr><tr><th>M - Maintenance</th><td>Identifies maintenance guidelines or best practices for reliable equipment operation.</td></tr><tr><th>C - Compliance Required</th><td>Identifies the need for action to correct a condition that, if left uncorrected, may result in reduced equipment reliability, efficiency, or safety. Compliance may be required within a specific operating time.</td></tr><tr><th>A - Alert / Safety</th><td>Failure to comply with the TIL could result in equipment damage, facility damage, or personal injury. Compliance is mandated within a specific operating time.</td></tr></table>",null,"[{""coord"": [245, 1014, 1556, 1434], ""page_id"": 0}]",table_1,databricks_ai,v1,til_p1_20260626_053348_c2e611d7,2026-06-26T05:37:28.946Z
til 1502-2r1 - 7f and 9f aft end compressor rubs,table_002_bea7e9c4,table,<table><tr><td>1</td><td>Prior to Unit Startup / Prior to Continued Operation (forced outage condition)</td></tr><tr><td>2</td><td>At First Opportunity (next shutdown)</td></tr><tr><td>3</td><td>Prior to Operation of Affected System</td></tr><tr><td>4</td><td>At First Exposure of Component</td></tr><tr><td>5</td><td>At Scheduled Component Part Repair or Replacement</td></tr></table>,null,"[{""coord"": [245, 1522, 1239, 1800], ""page_id"": 0}]",table_2,databricks_ai,v1,til_p1_20260626_053348_c2e611d7,2026-06-26T05:37:28.946Z
til 1502-2r1 - 7f and 9f aft end compressor rubs,table_003_2ab5ae1b,table,<table><tr><td>7</td><td>Optional</td></tr></table>,null,"[{""coord"": [245, 1893, 452, 1925], ""page_id"": 0}]",table_3,databricks_ai,v1,til_p1_20260626_053348_c2e611d7,2026-06-26T05:37:28.946Z
til 1502-2r1 - 7f and 9f aft end compressor rubs,table_004_9ad7d411,table,"<table><tr><td colspan=""2"">TIL COMPLIANCE RECORD</td><td colspan=""2"">For Internal Records Only #</td><td></td></tr><tr><td>Site Name:</td><td colspan=""2"">Customer Name:</td><td colspan=""2""></td></tr><tr><td colspan=""2"">Customer Contact Information</td><td colspan=""2"">GE Contact Information</td><td></td></tr><tr><td>Contact Name:</td><td colspan=""2""></td><td>Contact Name:</td><td></td></tr><tr><td>Address:</td><td colspan=""2""></td><td>Address:</td><td></td></tr><tr><td></td><td colspan=""2""></td><td></td><td></td></tr><tr><td>Email:</td><td colspan=""2""></td><td>Email:</td><td></td></tr><tr><td>Phone:</td><td colspan=""2""></td><td>Phone:</td><td></td></tr><tr><td>FAX:</td><td colspan=""2""></td><td>FAX:</td><td></td></tr><tr><td colspan=""5"">Turbine Serial Number(s):</td></tr><tr><td colspan=""5""></td></tr><tr><td colspan=""5""></td></tr><tr><td colspan=""2"">INSTALLED EQUIPMENT</td><td colspan=""3"">TIL Completed Date:</td></tr><tr><td colspan=""2""></td><td colspan=""3"">100% TIL Completed:</td></tr><tr><td colspan=""2"">Description:</td><td colspan=""3""></td></tr><tr><td colspan=""5""></td></tr><tr><td colspan=""5""></td></tr><tr><td>Unit Numbers:</td><td>Part Description:</td><td>Part Number</td><td colspan=""2"">MLI Number</td></tr><tr><td></td><td></td><td></td><td colspan=""2""></td></tr><tr><td></td><td></td><td></td><td colspan=""2""></td></tr><tr><td></td><td></td><td></td><td colspan=""2""></td></tr><tr><td></td><td></td><td></td><td colspan=""2""></td></tr><tr><td></td><td></td><td></td><td colspan=""2""></td></tr><tr><td></td><td></td><td></td><td colspan=""2""></td></tr><tr><td colspan=""5"">Comments:</td></tr><tr><td colspan=""5""></td></tr><tr><td colspan=""5""></td></tr><tr><td colspan=""5""></td></tr><tr><td colspan=""5""></td></tr><tr><td colspan=""5"">NOTE: If there are any redlined drawings that pertain to this TIL implementation, please FAX the drawings along with this TIL Compliance Record.</td></tr><tr><td>FAX this form to:</td><td colspan=""4"">TIL Compliance<br>FAX: (678) 844-3451<br>Toll free FAX: 1-888-896-TILS (1-888-896-8457)</td></tr></table>",null,"[{""coord"": [148, 503, 1565, 2072], ""page_id"": 3}]",table_4,databricks_ai,v1,til_p1_20260626_053348_c2e611d7,2026-06-26T05:37:28.946Z
til 1502-2r1 - 7f and 9f aft end compressor rubs,table_005_b28d02bb,table,"<table><tr><td colspan=""4"">USER SATISFACTION SURVEY</td></tr><tr><td>Serial Number:</td><td></td><td>Date:</td><td></td></tr><tr><td colspan=""4"">1. How many days after TIL issue date did you receive this TIL?</td></tr><tr><td>1 - 5 days</td><td>6 - 10 days</td><td colspan=""2"">+ 10 days</td></tr><tr><td colspan=""4"">NOTE: If you would like to receive future TILs by email, contact your local GE Energy Services representative for assistance.</td></tr><tr><td colspan=""4"">Rate the following based on a scale of 1 to 5, where 1 is Excellent and 5 is Poor.</td></tr><tr><td colspan=""4"">2. Please rate how well this document informed you of the technical issue.</td></tr><tr><td>1</td><td>2</td><td>3</td><td>4</td><td>5</td></tr><tr><td colspan=""4"">3. Please rate the overall effectiveness of this TIL.</td></tr><tr><td>1</td><td>2</td><td>3</td><td>4</td><td>5</td></tr><tr><td colspan=""4"">Comments / Suggestions:</td></tr><tr><td colspan=""4""></td></tr><tr><td colspan=""4""></td></tr><tr><td colspan=""4""></td></tr><tr><td colspan=""4""></td></tr><tr><td colspan=""4""></td></tr><tr><td colspan=""4""></td></tr><tr><td colspan=""4""></td></tr><tr><td colspan=""4""></td></tr><tr><td colspan=""4""></td></tr><tr><td>FAX this form to:</td><td colspan=""3"">TIL Survey<br>GE Customer Technology Services<br>FAX: (678) 844-6737<br>Toll free FAX: 1-866-604-2668</td></tr></table>",null,"[{""coord"": [152, 594, 1571, 1925], ""page_id"": 4}]",table_5,databricks_ai,v1,til_p1_20260626_053348_c2e611d7,2026-06-26T05:37:28.946Z
til 1945-r2 - f-class turbine wheel inspection and maintenance recommendations,text_001_352a0f28,section,"GE
GE VERNOVA
PRODUCT SERVICE
TIL 1945-R2
Publish Date: 15 JULY 2024
Compliance Category - A
Timing Code - 6
TECHNICAL INFORMATION LETTER
F-CLASS TURBINE WHEEL INSPECTION AND MAINTENANCE RECOMMENDATIONS
APPLICATION
Select F-class gas turbine rotors.
PURPOSE
Advise users to perform routine inspections at a maintenance interval based on installed configuration. This TIL supersedes TILs 1280, 1327, 1434, 1539, 1540, and 1742.
REASON FOR REVISION
1) Added a new 3 Step-Age Heat Treatment category for Stage 1 & Stage 2 wheels applicable to 7F and 6F.
2) Added a specific ECI inspection interval for Stage 1 contoured and enhanced wheels with 2 Step-Age heat treatment,
3) Added a specific ECI inspection interval for Stage 2 wheels post Rotor Life Extension.
COMPLIANCE CATEGORY
TIMING CODE
© 2024 GE Vernova
The proprietary information published in this Technical Information Letter is offered to you by GE Vernova in consideration of its ongoing sales and service relationship with your organization. However, since the operation of your plant involves many factors not within our knowledge, and since operation of the plant is in your control and ultimate responsibility for its continuing successful operation rests with you, GE Vernova specifically disclaims any responsibility for liability based on claims for damage of any type, i.e. direct, consequential or special that may be alleged to have been incurred as result of applying this information regardless of whether it is claimed that GE Vernova is strictly liable, in breach of contract, in breach of warranty, negligent, or is in other respects responsible for any alleged injury or damage sustained by your organization as a result of applying this information. This Technical Information Letter contains proprietary information of GE Vernova and is furnished to its customer solely to assist that customer in the installation, testing, operation and/or maintenance of the equipment described. This document shall not be reproduced or distributed in whole or in part nor shall its contents be disclosed to any third party without the written approval of GE Vernova. All rights reserved.
Date Printed: 15 JULY 2024
BACKGROUND DISCUSSION
The function of the turbine rotor in a heavy-duty gas turbine engine includes carrying turbine blade loads, transmitting torque to the compressor and generator for power generation, as well as supplying the turbine blades with cooling air.
Prior to assembly, the individual disks or wheels are balanced by the addition of weights installed in a groove. The weights are held in place by deforming the metal on either the balance weight or the balance weight groove. The turbine blades are retained axially by a snap ring type lock wire that is located in a machined groove passing through the turbine blades and turbine wheel.  The portion of the wheel retaining the lock wire is known as the lock wire tab.  The F-class turbine blade cooling air supply is provided through cooling slots in the bottom of the stage 1 and 2 turbine wheel dovetails.
Stage 1 Wheel
Stage 2 Wheel
Forward Web
Lock Wire Tab
Cooling slot
Balance Weight Groove
Wheel post
A-A
Figure 1: F-class Turbine Rotor Features
The disks in the turbine rotor are made of a high nickel alloy that is sensitive to surface imperfections where an intergranular crack may initiate and propagate due to high stresses and temperatures. Depending on the initiation location, an undetected crack may continue to propagate due to exposure to stress and temperature until either:
1- the crack is detected and either repaired or the rotor is removed from service, or
2- the crack propagates to a critical length, releasing a wheel section and/or adjacent turbine blades into the turbine hot gas path section potentially resulting in significant damage.
© 2024 GE Vernova
The proprietary information published in this Technical Information Letter is offered to you by GE Vernova in consideration of its ongoing sales and service relationship with your organization. However, since the operation of your plant involves many factors not within our knowledge, and since operation of the plant is in your control and ultimate responsibility for its continuing successful operation rests with you, GE Vernova specifically disclaims any responsibility for liability based on claims for damage of any type, i.e. direct, consequential or special that may be alleged to have been incurred as result of applying this information regardless of whether it is claimed that GE Vernova is strictly liable, in breach of contract, in breach of warranty, negligent, or is in other respects responsible for any alleged injury or damage sustained by your organization as a result of applying this information. This Technical Information Letter contains proprietary information of GE Vernova and is furnished to its customer solely to assist that customer in the installation, testing, operation and/or maintenance of the equipment described. This document shall not be reproduced or distributed in whole or in part nor shall its contents be disclosed to any third party without the written approval of GE Vernova. All rights reserved.
Date Printed: 15 JULY 2024
Continuous improvements have been made to the turbine rotor wheels over time in order to improve their overall damage sensitivity.
Rotors operating in high ambient and humid or corrosive conditions have an increased risk of crack initiation and propagation. Recommended inspections and inspection intervals to help mitigate crack propagation are provided based on wheel features, such as: shot peening condition at first fire, cooling slot geometry, material heat treatment, and environmental conditions. In some cases, rotors may be swapped from site to site in order to expedite an outage. This TIL is being issued to all general F-Class turbine rotors in order to provide recommendations for the various configurations. Rotors operating in high ambient and/or corrosive conditions have an increased risk of crack initiation and propagation and are addressed in TIL 1937.
Shot Peening Effect
Early generation turbine rotors have the highest sensitivity to surface imperfections. These rotors were manufactured and fired without full shot peen coverage of the turbine wheels. Shot peening leaves a residual compressive stress and decreases the risk of initiating a crack. Wheels that operated without shot peening have an increased risk of initiating and propagating a crack in the rim region of the turbine rotor and in the turbine wheel dovetail slots. After 1996, all F-class turbine wheels shipped with full peening coverage; these wheels were never fired without shot peening.
Cooling Slot
During operation, the intersection of the cooling slot and dovetail slot is subjected to high temperatures and tensile stresses caused by turbine blade pull. The high temperatures and stresses in conjunction with an adverse edge condition have been known to initiate cracks in this location.
Crack
Figure 2: Crack at Broached Wheel Post and Original Cooling Slot Corner
Three cooling slot shapes exist including original, contoured, and enhanced. The contoured (released in 2002) and enhanced (released in 2006) cooling slot shapes were developed to lower stresses in the region where indications have been observed in original slot configuration wheels. Please see Tables 1 to 6 below for eddy current inspection recommendations for original, contour, and enhanced cooling slot configuration wheels. Some rotors may have a
© 2024 GE Vernova
The proprietary information published in this Technical Information Letter is offered to you by GE Vernova in consideration of its ongoing sales and service relationship with your organization. However, since the operation of your plant involves many factors not within our knowledge, and since operation of the plant is in your control and ultimate responsibility for its continuing successful operation rests with you, GE Vernova specifically disclaims any responsibility for liability based on claims for damage of any type, i.e. direct, consequential or special that may be alleged to have been incurred as result of applying this information regardless of whether it is claimed that GE Vernova is strictly liable, in breach of contract, in breach of warranty, negligent, or is in other respects responsible for any alleged injury or damage sustained by your organization as a result of applying this information. This Technical Information Letter contains proprietary information of GE Vernova and is furnished to its customer solely to assist that customer in the installation, testing, operation and/or maintenance of the equipment described. This document shall not be reproduced or distributed in whole or in part nor shall its contents be disclosed to any third party without the written approval of GE Vernova. All rights reserved.
Date Printed: 15 JULY 2024
combination of enhanced, contoured, and/or original configuration wheels, depending on rotor repair history. All wheels should follow their applicable inspection recommendations. If a cooling slot crack is detected during the inspection, immediate wheel replacement will be recommended to avoid the risk of wheel post liberation during operation.
Stage 1
Wheel
Original (1995)
Contoured (2002)
Enhanced (2006)
Figure 3: Original, Contoured, and Enhanced cooling slot profiles
Lock Wire Tabs
Lock-wire tab (LWT) cracks have also been detected on the turbine rotor wheels.  These types of cracks can typically be repaired on site, subject to repair limits, without the need for rotor disassembly or wheel replacement.
Stage 1
Wheel
Lockwire tab
crack
Figure 4: Potential LWT Crack Orientations
© 2024 GE Vernova
The proprietary information published in this Technical Information Letter is offered to you by GE Vernova in consideration of its ongoing sales and service relationship with your organization. However, since the operation of your plant involves many factors not within our knowledge, and",null,null,document.raw_text,databricks_ai,v1,til_p1_20260626_053348_c2e611d7,2026-06-26T05:37:28.946Z
til 1945-r2 - f-class turbine wheel inspection and maintenance recommendations,table_001_9bf0ab6f,table,"<table><tr><td><b>M - Maintenance</b></td><td>Identifies maintenance guidelines or best practices for reliable equipment operation.</td></tr><tr><td><b>C - Compliance Required</b></td><td>Identifies the need for action to correct a condition that, if left uncorrected, may result in reduced equipment reliability or efficiency. Compliance may be required within a specific operating time.</td></tr><tr><td><b>A - Alert</b></td><td>Failure to comply with the TIL could result in equipment damage or facility damage. Compliance is mandated within a specific operating time.</td></tr><tr><td><b>S - Safety</b></td><td>Failure to comply with this TIL could result in personal injury. Compliance is mandated within a specific operating time.</td></tr></table>",null,"[{""coord"": [120, 1127, 1617, 1368], ""page_id"": 0}]",table_1,databricks_ai,v1,til_p1_20260626_053348_c2e611d7,2026-06-26T05:37:28.946Z
til 1945-r2 - f-class turbine wheel inspection and maintenance recommendations,table_002_85307677,table,<table><tr><td>1</td><td>Prior to Unit Startup / Prior to Continued Operation (forced outage condition)</td></tr><tr><td>2</td><td>At First Opportunity (next shutdown)</td></tr><tr><td>3</td><td>Prior to Operation of Affected System</td></tr><tr><td>4</td><td>At First Exposure of Component</td></tr><tr><td>5</td><td>At Scheduled Component Part Repair or Replacement.</td></tr><tr><td>6</td><td>Next Scheduled Outage</td></tr></table>,null,"[{""coord"": [120, 1400, 1617, 1702], ""page_id"": 0}]",table_2,databricks_ai,v1,til_p1_20260626_053348_c2e611d7,2026-06-26T05:37:28.946Z
til 1945-r2 - f-class turbine wheel inspection and maintenance recommendations,table_003_edf4812b,table,"<table><tr><th rowspan=""2"">Material Heat Treatment</th><th rowspan=""2"">Peening Condition</th><th rowspan=""2"">Cooling Slot Geometry</th><th rowspan=""2"">Balance Rail & Lock Wire Tab</th><th colspan=""2"">Recommendations</th><th colspan=""2"">Applicable Part Numbers</th></tr><tr><th>Inspection</th><th>Interval</th><th>Frame</th><th>Stage 1</th></tr><tr><td rowspan=""10"">2 Step Age</td><td>Fired without Shot Peening</td><td>Original</td><td>Original</td><td>ECI Visual BI FPI UT</td><td>every 24 hrs or 900 starts</td><td>7F</td><td>227C5762 103E5795<br>188D7369 109E3085<br>101E8627 109E3896<br>103E5773</td></tr><tr><td>Peening Modification</td><td>Original</td><td>Original</td><td colspan=""2"">May have been peened prior to first fire. Contact your GE Vernova representative with your turbine serial number to determine the applicable peening condition. Until validated by your GE Vernova representative, assume Fired without Shot Peening recommendations apply.</td><td>7F</td><td>193D2053<br>193D2063</td></tr><tr><td rowspan=""8"">Never Fired without Shot Peening</td><td rowspan=""4"">Original</td><td rowspan=""4"">Original</td><td>ECI</td><td>every 48 hrs or 2,400 starts [every 24 hrs or 900 starts if back cut buckets not installed]</td><td rowspan=""4"">7F</td><td>243C1494 109E5612<br>188D7996 114E1228<br>196D1915 116E2434<br>199D3931 117E5673<br>109E5303 119E2398<br>109E5589 119E2621</td></tr><tr><td>BI</td><td>every HGPI when CDC is not removed</td></tr><tr><td>FPI</td><td>LWT : every HGPI when buckets are removed<br>BWG : every Major and when CDC is removed during HGPI</td></tr><tr><td rowspan=""2"">Contoured</td><td rowspan=""2"">Original</td><td>ECI</td><td>at 96 hrs or 3,600 starts [every 48 hrs or 2,400 starts if back cut buckets not installed]</td><td rowspan=""2"">7F</td><td>116E3967</td></tr><tr><td>BI</td><td>every HGPI when CDC is not removed</td><td>119E3771</td></tr><tr><td rowspan=""4"">Enhanced</td><td rowspan=""4"">Original</td><td>ECI</td><td>at 96 hrs or 3,600 starts</td><td rowspan=""4"">7F</td><td rowspan=""4"">323E2241</td></tr><tr><td>BI</td><td>every HGPI when CDC is not removed</td></tr><tr><td>FPI</td><td>LWT : every HGPI when buckets are removed<br>BWG : every Major and when CDC is removed during HGPI</td></tr><tr><td>Stakeless & Modified Tab</td><td>ECI</td><td>at 96 hrs or 3,600 starts</td><td rowspan=""2"">7F</td><td rowspan=""2"">144E7560</td></tr><tr><td>FPI</td><td>LWT : every Major</td></tr><tr><td>3 Step Age</td><td>Never Fired without Shot Peening</td><td>Enhanced</td><td>Stakeless & Modified Tab</td><td>FPI</td><td>LWT : every Major</td><td>7F</td><td>146E3626</td></tr></table>",null,"[{""coord"": [121, 79, 1601, 1667], ""page_id"": 6}]",table_3,databricks_ai,v1,til_p1_20260626_053348_c2e611d7,2026-06-26T05:37:28.946Z
