col_name,data_type,comment
equipment_sys_id,string,"This column stores a unique system identifier for each equipment installation, serving as a primary key to distinguish between different equipment records in the table. Use this as the joining field to other systems"
engine_first_fire_date,date,"This column records the date when the engine of the equipment was first fired up or commissioned, marking the beginning of its operational life."
igv,string,"This column stores information related to the inlet guide vanes of the equipment, which are critical for regulating airflow and performance in certain types of machinery."
engine_serial_number,string,"This column contains the serial number assigned to the engine of the equipment by its manufacturer, which can be used for tracking, maintenance, and warranty purposes."
engine_ship_date,date,"This column records the date when the engine of the equipment was shipped from the manufacturer, which can be important for tracking lead times and delivery schedules."
equip_serial_number,string,"This column stores the serial number of the equipment itself, as assigned by the manufacturer, which is used to uniquely identify the equipment for maintenance, repair, and operational tracking. This is also known as turbine serial number - unique identifier for turbines."
nox_ppm,string,"This column measures the nitrogen oxide emissions of the equipment in parts per million, which is a critical parameter for environmental compliance and emissions control."
equipment_model,string,"This column specifies the model number or designation of the equipment, which can be used to determine its specifications, capabilities, and compatibility with other systems."
combustion_system,string,"This column describes the type of combustion system used by the equipment, such as diesel, gas, or dual-fuel, which affects its performance, efficiency, and emissions profile."
cooling_system,string,"This column specifies the type of cooling system employed by the equipment, such as air-cooled or water-cooled, which is essential for maintaining optimal operating temperatures and preventing overheating."
stag_code,string,"This column stores a staging code or status indicator for the equipment, which can be used to track its current operational state, maintenance schedule, or deployment phase."
unit_number,string,"This column assigns a unique unit number to the equipment, which can be used for inventory management, tracking, and identification purposes within a larger fleet or installation."
manufacturer_group,string,"This column categorizes the equipment based on its manufacturer or supplier group, which can be useful for analyzing market trends, comparing product performance, and managing supplier relationships."
original_apparent_pwr_mva,"decimal(10,2)","This column measures the original apparent power rating of the equipment in mega-volt-amperes, which is a key parameter for assessing its capacity and performance capabilities."
original_capacity_mw,"decimal(10,2)","This column specifies the original capacity of the equipment in megawatts, which represents its designed or nominal power output under standard operating conditions."
original_equip_design,string,"This column stores information about the original design specifications or configuration of the equipment, including any customizations or modifications made during its initial manufacturing phase."
original_equip_manufacturer,string,"This column identifies the original manufacturer of the equipment, which can be important for determining its warranty status, maintenance requirements, and compatibility with spare parts or accessories."
driven_equipment,string,"This column describes the type of equipment or load that is driven or powered by the primary equipment, such as generators, pumps, or compressors, which affects its operational characteristics and performance requirements."
present_capacity_mw,"decimal(10,2)","This column measures the current or present capacity of the equipment in megawatts, which may have changed due to upgrades, modifications, or degradation over time."
excitation_system,string,"This column specifies the type of excitation system used by the equipment, such as brushless or static excitation, which is critical for controlling its voltage, current, and power output."
present_apparent_pwr_mva,"decimal(10,2)","This column measures the current apparent power rating of the equipment in mega-volt-amperes, which reflects any changes or upgrades made to the equipment since its original installation."
present_voltage_v,string,"This column specifies the current operating voltage of the equipment in volts, which is essential for ensuring safe and efficient operation within its designed voltage range."
equipment_status,string,"This column indicates the current operational status of the equipment, such as in-service, out-of-service, or under maintenance, which is critical for tracking its availability and scheduling maintenance activities."
pbus_system_id,string,"This column stores a unique system identifier for the power bus or electrical system to which the equipment is connected, which facilitates integration with other power system components and monitoring tools."
original_equip_code,string,"This column contains a unique code or identifier assigned to the equipment by its original manufacturer, which can be used for tracking, maintenance, and warranty purposes."
no_of_mills,string,"This column stores information about the number of mills or grinding units associated with the equipment, which is relevant for certain types of industrial or processing equipment."
ps_equipment_flag,string,"This column indicates whether the equipment is classified as a prime mover or power generation equipment, which affects its operational characteristics, maintenance requirements, and regulatory compliance."
nox_diluent,string,"This column measures the diluent used to reduce nitrogen oxide emissions from the equipment, such as water or air, which is essential for controlling emissions and ensuring environmental compliance."
power_augmentation,string,"This column describes any power augmentation systems or technologies used to enhance the equipments performance, such as inlet cooling or compressor washing, which can improve its efficiency and output."
compr_configuration,string,"This column specifies the configuration of the compressor used in the equipment, including its type, arrangement, and control system, which affects its performance, efficiency, and reliability."
hgp_configuration,string,"This column stores the configuration details of the Hydro Gate Pump (HGP) system, which is a critical component of the equipment installation. It provides information about the setup and arrangement of the HGP system, including its operational parameters and technical specifications."
burner_detail,string,"This column contains detailed information about the burner system used in the equipment installation, including its type, model, and technical specifications. It provides data about the burners performance, efficiency, and operational characteristics."
rating,string,"This column stores the rating or capacity of the equipment installation, which is a measure of its performance and operational capabilities. It provides information about the equipments power output, speed, or other relevant technical specifications."
technology_oem,string,"This column contains information about the original equipment manufacturer (OEM) of the technology used in the equipment installation. It provides data about the manufacturers name, model, and technical specifications, as well as any relevant certifications or compliance details."
equipment_code,string,"This column stores a unique code or identifier assigned to the equipment installation, which is used for tracking, maintenance, and inventory purposes. It provides a concise and standardized way to reference the equipment installation throughout its lifecycle.The standard GE equipment model or product code (e.g., 7FA, 9HA, D11, A05) is used for installed base classification, parts, and engineering references."
firing_system,string,"This column contains information about the firing system used in the equipment installation, including its type, model, and technical specifications. It provides data about the firing systems performance, efficiency, and operational characteristics."
live_steam_temperature_c,string,"This column stores the live steam temperature of the equipment installation, which is a critical parameter for its operational performance and efficiency. It provides information about the temperature of the steam used in the equipment installation, measured in degrees Celsius."
mill_manufacturer,string,"This column contains information about the manufacturer of the mill or grinding system used in the equipment installation. It provides data about the manufacturers name, model, and technical specifications, as well as any relevant certifications or compliance details."
mill_size,string,"This column stores the size or capacity of the mill or grinding system used in the equipment installation, which is a measure of its performance and operational capabilities. It provides information about the mills dimensions, power output, or other relevant technical specifications."
mill_type,string,"This column contains information about the type of mill or grinding system used in the equipment installation, including its design, configuration, and technical specifications. It provides data about the mills operational characteristics, performance, and efficiency."
live_steam_pressure_bar,string,"This column stores the live steam pressure of the equipment installation, which is a critical parameter for its operational performance and efficiency. It provides information about the pressure of the steam used in the equipment installation, measured in bars."
present_current_a,string,"This column stores the current or electrical load of the equipment installation, which is a measure of its power consumption and operational performance. It provides information about the equipments electrical characteristics, including its voltage, current, and power factor."
present_h2_overpressure_bar,string,"This column stores the overpressure of the hydrogen (H2) system used in the equipment installation, which is a critical parameter for its operational safety and performance. It provides information about the pressure of the H2 system, measured in bars, and its relationship to the equipments operational characteristics."
present_power_factor,string,"This column stores the power factor of the equipment installation, which is a measure of its electrical efficiency and operational performance. It provides information about the equipments power consumption, including its real and reactive power components."
speed_rpm,string,"This column stores the speed or rotational velocity of the equipment installation, which is a critical parameter for its operational performance and efficiency. It provides information about the equipments speed, measured in revolutions per minute (RPM), and its relationship to the equipments technical specifications."
class_grouping,string,"This column contains information about the classification or grouping of the equipment installation, which is used for categorization, tracking, and maintenance purposes. It provides a standardized way to reference the equipment installation based on its technical specifications, operational characteristics, or other relevant factors."
equipment_class,string,"This column stores the class or category of the equipment installation, which is a measure of its technical specifications, operational characteristics, or other relevant factors. It provides information about the equipments design, configuration, and performance, as well as its relationship to other equipment installations."
equipment_sub_class,string,"This column contains information about the sub-class or sub-category of the equipment installation, which is a more detailed classification of the equipments technical specifications, operational characteristics, or other relevant factors. It provides a standardized way to reference the equipment installation based on its specific design, configuration, or performance characteristics."
equipment_type,string,"Stores the type of equipment installation, representing a broad categorization of the equipment’s design, configuration, technical specifications, and functional purpose. It provides information about the equipments operational characteristics and performance as well as its relationship to other equipment installations. This field is used to distinguish between major equipment groupings (for example, turbine, generator, pump) and supports filtering, reporting, and analysis by equipment category."
control_oem,string,"This column contains information about the original equipment manufacturer (OEM) of the control system used in the equipment installation. It provides data about the manufacturers name, model, and technical specifications, as well as any relevant certifications or compliance details."
control_system,string,"This column stores information about the control system used in the equipment installation, including its type, model, and technical specifications. It provides data about the control systems performance, efficiency, and operational characteristics, as well as its relationship to the equipments technical specifications."
control_type,string,"This column contains information about the type of control system used in the equipment installation, including its design, configuration, and technical specifications. It provides data about the control systems operational characteristics, performance, and efficiency, as well as its relationship to the equipments technical specifications."
exciter_config,string,"This column stores the configuration details of the exciter system used in the equipment installation, which is a critical component of the equipments operational performance and efficiency. It provides information about the exciter systems design, configuration, and technical specifications, as well as its relationship to the equipments technical specifications."
exciter_model,string,"This column contains information about the model or type of exciter system used in the equipment installation, including its technical specifications and operational characteristics. It provides data about the exciter systems performance, efficiency, and design, as well as its relationship to the equipments technical specifications."
exciter_oem,string,"This column contains information about the original equipment manufacturer (OEM) of the exciter system used in the equipment installation. It provides data about the manufacturers name, model, and technical specifications, as well as any relevant certifications or compliance details."
exciter_supply,string,"This column stores information about the supply or power source of the exciter system used in the equipment installation, including its technical specifications and operational characteristics. It provides data about the exciter systems performance, efficiency, and design, as well as its relationship to the equipments technical specifications."
exciter_type,string,"This column contains information about the type of exciter system used in the equipment installation, including its design, configuration, and technical specifications. It provides data about the exciter systems operational characteristics, performance, and efficiency, as well as its relationship to the equipments technical specifications."
start_crossover,string,"This column stores information about the start or crossover point of the equipment installation, which is a critical parameter for its operational performance and efficiency. It provides data about the equipments startup sequence, including its timing, voltage, and current characteristics."
start_item_no,string,"This column contains information about the start item or component number of the equipment installation, which is used for tracking, maintenance, and inventory purposes. It provides a standardized way to reference the equipment installation based on its technical specifications, operational characteristics, or other relevant factors."
starter_system,string,"This column stores information about the starter system used in the equipment installation, including its type, model, and technical specifications. It provides data about the starter systems performance, efficiency, and operational characteristics, as well as its relationship to the equipments technical specifications."
starter_type,string,"This column stores the type of starter used in the equipment, which is a critical component in the equipments operational functionality."
starter_oem,string,"This column contains the original equipment manufacturer (OEM) information for the starter, providing details about the starters origin and specifications."
mul_is_monitored,string,"This column indicates whether the equipments multiple (mul) is being monitored, which is essential for tracking and maintaining the equipments performance and health."
duty_cycle,string,"This column stores the duty cycle of the equipment, which represents the percentage of time the equipment is in operation, helping to determine its usage patterns and maintenance schedules."
shipped_date,date,"This column records the date when the equipment was shipped, marking the beginning of its journey to the installation site and providing a reference point for tracking its history."
equipment_comm_date,date,"This column contains the date when the equipment was commissioned, indicating the start of its operational life and the point at which it became functional and ready for use."
customer_service_leader,int,"This column stores the identifier of the customer service leader responsible for the equipment, who oversees the provision of support and services to the customer and ensures their needs are met."
area_parts_manager,int,"This column contains the identifier of the area parts manager, who is responsible for managing the inventory and supply of parts and components for the equipment in a specific geographic area."
service_director,int,"This column stores the identifier of the service director, a senior-level professional responsible for overseeing the overall service strategy and direction for the equipment, including maintenance, repairs, and customer support."
customer_service_leader_fullname,string,"This column contains the full name of the customer service leader, providing a complete and formal identification of the person responsible for leading the customer service efforts for the equipment."
area_parts_manager_fullname,string,"This column stores the full name of the area parts manager, offering a complete and formal identification of the person responsible for managing parts and components for the equipment in a specific area."
